domain,transcript_index,signal_level,agreement,votes_high,votes_low,all_agree,llama_label,mistral_label,qwen_label,llama_criterion,mistral_criterion,qwen_criterion
career_selfimprovement,10,HIGH,1.0,3,0,True,HIGH,HIGH,HIGH,"The transcript provides some concrete metrics and mentions specific strategies for staying relevant in the new landscape, but also repeats warnings about AI replacing jobs without providing clear mitigation steps.",,Provides concrete outcomes and metrics while offering specific strategies for staying relevant in the tech industry.
career_selfimprovement,11,LOW,0.667,1,2,False,HIGH,LOW,LOW,"The video provides some specific procedural steps and concrete outcomes or metrics, but it does not provide a clear action plan or solution to mitigate the risks of layoffs.","The primary hook is fear or urgency with no concrete mitigation steps offered, and more than 30% of content promotes a course, consultation service, community, or product.",The motivational language dominates the transcript despite some procedural steps being provided.
career_selfimprovement,12,HIGH,0.667,2,1,False,LOW,HIGH,HIGH,"The primary factor is the dominance of motivational language without actionable methods, despite some specific procedural steps being mentioned.",,"While there is motivational language present, it co-occurs with specific procedural steps and outcomes related to financial discipline and investment."
career_selfimprovement,13,LOW,1.0,0,3,True,LOW,LOW,LOW,"The motivational language dominates the transcript with no actionable method attached, and the speaker repeats the same points without adding new information.","The motivational language dominates the transcript and no specific procedural steps are provided, which suggests a dominant LOW pattern. While there is some discussion of finding one's obsession, this does not outweigh the overall motivational tone of the transcript.",The transcript is dominated by motivational language without any actionable methods or procedural steps.
career_selfimprovement,14,LOW,1.0,0,3,True,LOW,LOW,LOW,"The motivational language dominates the transcript with no clear actionable methods attached, and the speaker does not provide concrete procedural steps or named practices for achieving their goals.",,Dominant presence of motivational language without actionable methods.
career_selfimprovement,15,HIGH,0.667,2,1,False,HIGH,HIGH,LOW,"While the transcript has some LOW patterns, such as repetitive points and motivational language without actionable methods, the presence of specific procedural steps and concrete outcomes outweigh these factors.",,The motivational language and lack of concrete procedural steps or outcomes dominate the content.
career_selfimprovement,16,LOW,1.0,0,3,True,LOW,LOW,LOW,The transcript's primary focus on motivational language with little to no concrete procedural steps or outcomes outweighs its few vague attempts at providing specific actions.,"The transcript contains procedural steps and specific outcomes, but it also repeats motivational phrases without providing actionable methods. However, the motivational language does not significantly overshadow the procedural content.","The transcript is dominated by motivational language without any specific procedural steps or actions, failing the high signal criteria and matching the low signal criteria."
career_selfimprovement,17,LOW,0.667,1,2,False,HIGH,LOW,LOW,"While the transcript meets some HIGH criteria, it also contains significant LOW patterns, particularly in terms of motivational language dominating the content.","The transcript contains a significant amount of motivational language and promotion of products/services, which outweighs the procedural content.","While there are procedural steps provided, motivational language and promotional content dominate a significant portion of the transcript."
career_selfimprovement,18,LOW,0.667,1,2,False,HIGH,LOW,LOW,"While the content has some LOW patterns, it still provides specific procedural steps and concrete outcomes, making it a HIGH label.","The content provides specific procedural steps and concrete outcomes, but it also promotes a product throughout the transcript, which is a LOW signal criterion. However, the motivational language does not dominate the content and is intertwined with procedural steps, so it does not constitute a dominant LOW pattern.","Motivational language dominates the transcript, which is a dominant low signal pattern."
career_selfimprovement,19,LOW,0.667,1,2,False,LOW,HIGH,LOW,"The primary factor is that motivational language dominates the transcript, with some procedural content existing but being buried under motivational language.",,Dominant motivational language with no actionable methods or procedural steps.
