variant,domain,transcript_index,repeat,label
zeroshot_no_rubric,tech_ai,23,4,LOW
frontier_with_rubric,tech_ai,23,0,LOW
frontier_with_rubric,tech_ai,23,1,LOW
frontier_with_rubric,tech_ai,23,2,HIGH
frontier_with_rubric,tech_ai,23,3,LOW
frontier_with_rubric,tech_ai,23,4,LOW
zeroshot_no_rubric,tech_ai,24,0,LOW
zeroshot_no_rubric,tech_ai,24,1,LOW
zeroshot_no_rubric,tech_ai,24,2,LOW
zeroshot_no_rubric,tech_ai,24,3,LOW
zeroshot_no_rubric,tech_ai,24,4,LOW
frontier_with_rubric,tech_ai,24,0,LOW
frontier_with_rubric,tech_ai,24,1,LOW
frontier_with_rubric,tech_ai,24,2,LOW
frontier_with_rubric,tech_ai,24,3,LOW
frontier_with_rubric,tech_ai,24,4,LOW
zeroshot_no_rubric,tech_ai,25,0,LOW
zeroshot_no_rubric,tech_ai,25,1,LOW
zeroshot_no_rubric,tech_ai,25,2,LOW
zeroshot_no_rubric,tech_ai,25,3,LOW
zeroshot_no_rubric,tech_ai,25,4,LOW
frontier_with_rubric,tech_ai,25,0,HIGH
frontier_with_rubric,tech_ai,25,1,HIGH
frontier_with_rubric,tech_ai,25,2,HIGH
frontier_with_rubric,tech_ai,25,3,HIGH
frontier_with_rubric,tech_ai,25,4,HIGH
zeroshot_no_rubric,tech_ai,26,0,HIGH
zeroshot_no_rubric,tech_ai,26,1,HIGH
zeroshot_no_rubric,tech_ai,26,2,HIGH
zeroshot_no_rubric,tech_ai,26,3,HIGH
zeroshot_no_rubric,tech_ai,26,4,HIGH
frontier_with_rubric,tech_ai,26,0,HIGH
frontier_with_rubric,tech_ai,26,1,HIGH
frontier_with_rubric,tech_ai,26,2,HIGH
frontier_with_rubric,tech_ai,26,3,HIGH
frontier_with_rubric,tech_ai,26,4,HIGH
zeroshot_no_rubric,tech_ai,27,0,HIGH
zeroshot_no_rubric,tech_ai,27,1,LOW
zeroshot_no_rubric,tech_ai,27,2,LOW
zeroshot_no_rubric,tech_ai,27,3,LOW
zeroshot_no_rubric,tech_ai,27,4,LOW
frontier_with_rubric,tech_ai,27,0,HIGH
frontier_with_rubric,tech_ai,27,1,HIGH
frontier_with_rubric,tech_ai,27,2,HIGH
frontier_with_rubric,tech_ai,27,3,HIGH
frontier_with_rubric,tech_ai,27,4,HIGH
zeroshot_no_rubric,tech_ai,28,0,LOW
zeroshot_no_rubric,tech_ai,28,1,LOW
zeroshot_no_rubric,tech_ai,28,2,LOW
zeroshot_no_rubric,tech_ai,28,3,LOW
zeroshot_no_rubric,tech_ai,28,4,LOW
frontier_with_rubric,tech_ai,28,0,LOW
frontier_with_rubric,tech_ai,28,1,LOW
frontier_with_rubric,tech_ai,28,2,LOW
frontier_with_rubric,tech_ai,28,3,LOW
frontier_with_rubric,tech_ai,28,4,LOW
zeroshot_no_rubric,tech_ai,29,0,LOW
zeroshot_no_rubric,tech_ai,29,1,LOW
zeroshot_no_rubric,tech_ai,29,2,LOW
zeroshot_no_rubric,tech_ai,29,3,LOW
zeroshot_no_rubric,tech_ai,29,4,LOW
frontier_with_rubric,tech_ai,29,0,LOW
frontier_with_rubric,tech_ai,29,1,LOW
frontier_with_rubric,tech_ai,29,2,LOW
frontier_with_rubric,tech_ai,29,3,LOW
frontier_with_rubric,tech_ai,29,4,LOW
zeroshot_no_rubric,tech_ai,30,0,LOW
zeroshot_no_rubric,tech_ai,30,1,LOW
zeroshot_no_rubric,tech_ai,30,2,LOW
zeroshot_no_rubric,tech_ai,30,3,LOW
zeroshot_no_rubric,tech_ai,30,4,LOW
frontier_with_rubric,tech_ai,30,0,LOW
frontier_with_rubric,tech_ai,30,1,LOW
frontier_with_rubric,tech_ai,30,2,LOW
frontier_with_rubric,tech_ai,30,3,LOW
frontier_with_rubric,tech_ai,30,4,LOW
zeroshot_no_rubric,tech_ai,31,0,HIGH
zeroshot_no_rubric,tech_ai,31,1,HIGH
zeroshot_no_rubric,tech_ai,31,2,HIGH
zeroshot_no_rubric,tech_ai,31,3,HIGH
zeroshot_no_rubric,tech_ai,31,4,HIGH
frontier_with_rubric,tech_ai,31,0,HIGH
frontier_with_rubric,tech_ai,31,1,HIGH
frontier_with_rubric,tech_ai,31,2,HIGH
frontier_with_rubric,tech_ai,31,3,HIGH
frontier_with_rubric,tech_ai,31,4,HIGH
zeroshot_no_rubric,tech_ai,32,0,LOW
zeroshot_no_rubric,tech_ai,32,1,LOW
zeroshot_no_rubric,tech_ai,32,2,LOW
zeroshot_no_rubric,tech_ai,32,3,LOW
zeroshot_no_rubric,tech_ai,32,4,LOW
frontier_with_rubric,tech_ai,32,0,LOW
frontier_with_rubric,tech_ai,32,1,LOW
frontier_with_rubric,tech_ai,32,2,LOW
frontier_with_rubric,tech_ai,32,3,LOW
frontier_with_rubric,tech_ai,32,4,LOW
zeroshot_no_rubric,tech_ai,33,0,LOW
zeroshot_no_rubric,tech_ai,33,1,LOW
zeroshot_no_rubric,tech_ai,33,2,LOW
zeroshot_no_rubric,tech_ai,33,3,LOW
zeroshot_no_rubric,tech_ai,33,4,LOW
frontier_with_rubric,tech_ai,33,0,LOW
frontier_with_rubric,tech_ai,33,1,LOW
frontier_with_rubric,tech_ai,33,2,LOW
frontier_with_rubric,tech_ai,33,3,LOW
frontier_with_rubric,tech_ai,33,4,LOW
zeroshot_no_rubric,tech_ai,34,0,LOW
zeroshot_no_rubric,tech_ai,34,1,LOW
zeroshot_no_rubric,tech_ai,34,2,LOW
zeroshot_no_rubric,tech_ai,34,3,LOW
zeroshot_no_rubric,tech_ai,34,4,LOW
frontier_with_rubric,tech_ai,34,0,LOW
frontier_with_rubric,tech_ai,34,1,LOW
frontier_with_rubric,tech_ai,34,2,LOW
frontier_with_rubric,tech_ai,34,3,LOW
frontier_with_rubric,tech_ai,34,4,LOW
zeroshot_no_rubric,tech_ai,35,0,LOW
zeroshot_no_rubric,tech_ai,35,1,LOW
zeroshot_no_rubric,tech_ai,35,2,LOW
zeroshot_no_rubric,tech_ai,35,3,LOW
zeroshot_no_rubric,tech_ai,35,4,LOW
frontier_with_rubric,tech_ai,35,0,LOW
frontier_with_rubric,tech_ai,35,1,LOW
frontier_with_rubric,tech_ai,35,2,LOW
frontier_with_rubric,tech_ai,35,3,LOW
frontier_with_rubric,tech_ai,35,4,LOW
zeroshot_no_rubric,tech_ai,36,0,LOW
zeroshot_no_rubric,tech_ai,36,1,LOW
zeroshot_no_rubric,tech_ai,36,2,LOW
zeroshot_no_rubric,tech_ai,36,3,LOW
zeroshot_no_rubric,tech_ai,36,4,LOW
frontier_with_rubric,tech_ai,36,0,LOW
frontier_with_rubric,tech_ai,36,1,LOW
frontier_with_rubric,tech_ai,36,2,LOW
frontier_with_rubric,tech_ai,36,3,LOW
frontier_with_rubric,tech_ai,36,4,LOW
zeroshot_no_rubric,tech_ai,37,0,LOW
zeroshot_no_rubric,tech_ai,37,1,LOW
zeroshot_no_rubric,tech_ai,37,2,LOW
zeroshot_no_rubric,tech_ai,37,3,LOW
zeroshot_no_rubric,tech_ai,37,4,LOW
frontier_with_rubric,tech_ai,37,0,LOW
frontier_with_rubric,tech_ai,37,1,LOW
frontier_with_rubric,tech_ai,37,2,LOW
frontier_with_rubric,tech_ai,37,3,LOW
frontier_with_rubric,tech_ai,37,4,LOW
zeroshot_no_rubric,tech_ai,38,0,LOW
zeroshot_no_rubric,tech_ai,38,1,LOW
zeroshot_no_rubric,tech_ai,38,2,LOW
zeroshot_no_rubric,tech_ai,38,3,LOW
zeroshot_no_rubric,tech_ai,38,4,LOW
frontier_with_rubric,tech_ai,38,0,LOW
frontier_with_rubric,tech_ai,38,1,LOW
frontier_with_rubric,tech_ai,38,2,LOW
frontier_with_rubric,tech_ai,38,3,LOW
frontier_with_rubric,tech_ai,38,4,LOW
zeroshot_no_rubric,tech_ai,39,0,LOW
zeroshot_no_rubric,tech_ai,39,1,LOW
zeroshot_no_rubric,tech_ai,39,2,LOW
zeroshot_no_rubric,tech_ai,39,3,LOW
zeroshot_no_rubric,tech_ai,39,4,LOW
frontier_with_rubric,tech_ai,39,0,LOW
frontier_with_rubric,tech_ai,39,1,LOW
frontier_with_rubric,tech_ai,39,2,LOW
frontier_with_rubric,tech_ai,39,3,LOW
frontier_with_rubric,tech_ai,39,4,LOW
zeroshot_no_rubric,general_education,40,0,HIGH
zeroshot_no_rubric,general_education,40,1,HIGH
zeroshot_no_rubric,general_education,40,2,HIGH
zeroshot_no_rubric,general_education,40,3,HIGH
zeroshot_no_rubric,general_education,40,4,HIGH
frontier_with_rubric,general_education,40,0,HIGH
frontier_with_rubric,general_education,40,1,HIGH
frontier_with_rubric,general_education,40,2,HIGH
frontier_with_rubric,general_education,40,3,HIGH
frontier_with_rubric,general_education,40,4,HIGH
zeroshot_no_rubric,general_education,41,0,HIGH
zeroshot_no_rubric,general_education,41,1,HIGH
zeroshot_no_rubric,general_education,41,2,HIGH
zeroshot_no_rubric,general_education,41,3,HIGH
zeroshot_no_rubric,general_education,41,4,HIGH
frontier_with_rubric,general_education,41,0,HIGH
frontier_with_rubric,general_education,41,1,HIGH
frontier_with_rubric,general_education,41,2,HIGH
frontier_with_rubric,general_education,41,3,HIGH
frontier_with_rubric,general_education,41,4,HIGH
zeroshot_no_rubric,general_education,42,0,HIGH
zeroshot_no_rubric,general_education,42,1,HIGH
zeroshot_no_rubric,general_education,42,2,HIGH
zeroshot_no_rubric,general_education,42,3,HIGH
zeroshot_no_rubric,general_education,42,4,HIGH
frontier_with_rubric,general_education,42,0,HIGH
frontier_with_rubric,general_education,42,1,HIGH
frontier_with_rubric,general_education,42,2,HIGH
frontier_with_rubric,general_education,42,3,HIGH
frontier_with_rubric,general_education,42,4,HIGH
zeroshot_no_rubric,general_education,43,0,HIGH
zeroshot_no_rubric,general_education,43,1,HIGH
zeroshot_no_rubric,general_education,43,2,HIGH
zeroshot_no_rubric,general_education,43,3,HIGH
zeroshot_no_rubric,general_education,43,4,HIGH
frontier_with_rubric,general_education,43,0,HIGH
frontier_with_rubric,general_education,43,1,HIGH
frontier_with_rubric,general_education,43,2,HIGH
frontier_with_rubric,general_education,43,3,HIGH
frontier_with_rubric,general_education,43,4,HIGH
zeroshot_no_rubric,general_education,44,0,HIGH
zeroshot_no_rubric,general_education,44,1,HIGH
zeroshot_no_rubric,general_education,44,2,HIGH
zeroshot_no_rubric,general_education,44,3,HIGH
zeroshot_no_rubric,general_education,44,4,HIGH
frontier_with_rubric,general_education,44,0,HIGH
frontier_with_rubric,general_education,44,1,HIGH
frontier_with_rubric,general_education,44,2,HIGH
frontier_with_rubric,general_education,44,3,HIGH
frontier_with_rubric,general_education,44,4,HIGH
zeroshot_no_rubric,general_education,45,0,HIGH
zeroshot_no_rubric,general_education,45,1,HIGH
zeroshot_no_rubric,general_education,45,2,HIGH
zeroshot_no_rubric,general_education,45,3,HIGH
zeroshot_no_rubric,general_education,45,4,HIGH
frontier_with_rubric,general_education,45,0,HIGH
frontier_with_rubric,general_education,45,1,HIGH
frontier_with_rubric,general_education,45,2,HIGH
frontier_with_rubric,general_education,45,3,HIGH
frontier_with_rubric,general_education,45,4,HIGH
zeroshot_no_rubric,general_education,46,0,HIGH
zeroshot_no_rubric,general_education,46,1,HIGH
zeroshot_no_rubric,general_education,46,2,HIGH
zeroshot_no_rubric,general_education,46,3,HIGH
zeroshot_no_rubric,general_education,46,4,HIGH
frontier_with_rubric,general_education,46,0,HIGH
frontier_with_rubric,general_education,46,1,HIGH
frontier_with_rubric,general_education,46,2,HIGH
frontier_with_rubric,general_education,46,3,HIGH
frontier_with_rubric,general_education,46,4,HIGH
zeroshot_no_rubric,general_education,47,0,HIGH
zeroshot_no_rubric,general_education,47,1,HIGH
zeroshot_no_rubric,general_education,47,2,HIGH
zeroshot_no_rubric,general_education,47,3,HIGH
zeroshot_no_rubric,general_education,47,4,HIGH
frontier_with_rubric,general_education,47,0,LOW
frontier_with_rubric,general_education,47,1,LOW
frontier_with_rubric,general_education,47,2,HIGH
frontier_with_rubric,general_education,47,3,LOW
frontier_with_rubric,general_education,47,4,LOW
zeroshot_no_rubric,general_education,48,0,HIGH
zeroshot_no_rubric,general_education,48,1,HIGH
zeroshot_no_rubric,general_education,48,2,HIGH
zeroshot_no_rubric,general_education,48,3,HIGH
zeroshot_no_rubric,general_education,48,4,HIGH
frontier_with_rubric,general_education,48,0,LOW
frontier_with_rubric,general_education,48,1,LOW
frontier_with_rubric,general_education,48,2,LOW
frontier_with_rubric,general_education,48,3,LOW
frontier_with_rubric,general_education,48,4,LOW
zeroshot_no_rubric,general_education,49,0,HIGH
zeroshot_no_rubric,general_education,49,1,HIGH
zeroshot_no_rubric,general_education,49,2,HIGH
zeroshot_no_rubric,general_education,49,3,HIGH
zeroshot_no_rubric,general_education,49,4,HIGH
frontier_with_rubric,general_education,49,0,HIGH
frontier_with_rubric,general_education,49,1,HIGH
frontier_with_rubric,general_education,49,2,HIGH
frontier_with_rubric,general_education,49,3,HIGH
frontier_with_rubric,general_education,49,4,HIGH
zeroshot_no_rubric,general_education,50,0,HIGH
zeroshot_no_rubric,general_education,50,1,HIGH
zeroshot_no_rubric,general_education,50,2,HIGH
zeroshot_no_rubric,general_education,50,3,HIGH
zeroshot_no_rubric,general_education,50,4,HIGH
frontier_with_rubric,general_education,50,0,HIGH
frontier_with_rubric,general_education,50,1,HIGH
frontier_with_rubric,general_education,50,2,HIGH
frontier_with_rubric,general_education,50,3,HIGH
frontier_with_rubric,general_education,50,4,HIGH
zeroshot_no_rubric,general_education,51,0,LOW
zeroshot_no_rubric,general_education,51,1,LOW
zeroshot_no_rubric,general_education,51,2,LOW
zeroshot_no_rubric,general_education,51,3,LOW
zeroshot_no_rubric,general_education,51,4,LOW
frontier_with_rubric,general_education,51,0,HIGH
frontier_with_rubric,general_education,51,1,LOW
frontier_with_rubric,general_education,51,2,HIGH
frontier_with_rubric,general_education,51,3,LOW
frontier_with_rubric,general_education,51,4,LOW
zeroshot_no_rubric,general_education,52,0,HIGH
zeroshot_no_rubric,general_education,52,1,HIGH
zeroshot_no_rubric,general_education,52,2,HIGH
zeroshot_no_rubric,general_education,52,3,HIGH
zeroshot_no_rubric,general_education,52,4,HIGH
frontier_with_rubric,general_education,52,0,HIGH
frontier_with_rubric,general_education,52,1,HIGH
frontier_with_rubric,general_education,52,2,HIGH
frontier_with_rubric,general_education,52,3,HIGH
frontier_with_rubric,general_education,52,4,HIGH
zeroshot_no_rubric,general_education,53,0,LOW
zeroshot_no_rubric,general_education,53,1,LOW
zeroshot_no_rubric,general_education,53,2,LOW
zeroshot_no_rubric,general_education,53,3,LOW
zeroshot_no_rubric,general_education,53,4,LOW
frontier_with_rubric,general_education,53,0,LOW
